c1;c2;c3;c4;c5;score_cv;score_test
4;7;0,7;0,6;0,9;0,824797125;0,829596413
4;4;0,9;0,5;0,9;0,797727375;0,82735426
4;5;0,8;0,5;0,8;0,790828;0,82735426
4;9;0,6;0,9;0,9;0,820211;0,82735426
4;4;0,3;0,9;0,4;0,809050375;0,825112108
4;4;0,3;0,9;0,5;0,82025175;0,825112108
4;4;0,3;0,9;0,6;0,81574675;0,825112108
4;4;0,3;0,9;0,7;0,81578725;0,825112108
4;4;0,3;0,9;0,8;0,820332625;0,825112108
4;5;0,4;0,9;0,8;0,824797125;0,825112108
4;5;0,8;0,5;0,9;0,78425325;0,825112108
4;6;0,7;0,6;0,9;0,8226055;0,825112108
4;8;0,6;0,9;0,9;0,822443125;0,825112108
4;10;0,7;0,6;0,9;0,809172125;0,825112108
4;10;0,7;0,9;0,6;0,804667;0,825112108
4;11;0,7;0,6;0,9;0,81818175;0,825112108
4;12;0,7;0,6;0,9;0,81818175;0,825112108
4;13;0,7;0,6;0,9;0,81818175;0,825112108
4;4;0,3;0,9;0,9;0,809050375;0,822869955
4;4;0,6;0,9;0,5;0,817979;0,822869955
4;4;0,9;0,7;0,5;0,79318175;0,822869955
4;5;0,7;0,5;0,7;0,7978085;0,822869955
4;5;0,7;0,5;0,8;0,804464375;0,822869955
4;5;0,7;0,5;0,9;0,8;0,822869955
4;5;0,8;0,5;0,6;0,773052;0,822869955
4;6;0,4;0,6;0,5;0,81578725;0,822869955
4;6;0,5;0,9;0,7;0,811201375;0,822869955
4;6;0,6;0,6;0,5;0,809172;0,822869955
4;7;0,8;0,9;0,8;0,82033275;0,822869955
4;8;0,7;0,6;0,9;0,81810075;0,822869955
4;9;0,6;0,9;0,8;0,822484;0,822869955
4;10;0,6;0,9;0,6;0,831534;0,822869955
4;4;0,4;0,9;0,4;0,820332625;0,820627803
4;4;0,4;0,9;0,5;0,822524375;0,820627803
4;4;0,5;0,9;0,4;0,808928625;0,820627803
4;4;0,5;0,9;0,6;0,82706975;0,820627803
4;4;0,6;0,9;0,4;0,822565;0,820627803
4;4;0,6;0,9;0,6;0,820292375;0,820627803
4;4;0,6;0,9;0,8;0,82025175;0,820627803
4;4;0,8;0,9;0,8;0,826988625;0,820627803
4;4;0,8;0,9;0,9;0,80665575;0,820627803
4;5;0,3;0,9;0,4;0,813676875;0,820627803
4;5;0,3;0,9;0,5;0,811485375;0,820627803
4;5;0,3;0,9;0,7;0,8137175;0,820627803
4;5;0,3;0,9;0,8;0,815949625;0,820627803
4;5;0,3;0,9;0,9;0,81140425;0,820627803
4;5;0,4;0,9;0,6;0,8204545;0,820627803
4;5;0,4;0,9;0,7;0,82702925;0,820627803
4;5;0,5;0,8;0,4;0,817978875;0,820627803
4;6;0,2;0,9;0,5;0,82033275;0,820627803
